Date Published,Rating,Max Rating,Author,Country,Title,Review Body,Type Of Traveller,Seat Type,Date Flown,Aircraft,Route,From,Via,To,Verified,Recommended
2022-11-01,10.0,10.0,J Damakali,United States,"""very pleasant flying experience""","  Dallas Ft Worth to Colombo return via Doha Another very pleasant flying experience with my favorite airline. Basic economy ticket. Great cabin crew, food was great well presented and most importantly something you can eat. Cabin crew attention to safety was fantastic. Rest rooms were well maintained. When I visited the galley to get a drink it was well maintained.",Solo Leisure,Economy Class,August 2022,A350-100 / A330 / Boeing 777-200,Dallas Ft Worth to Colombo via Doha,Dallas/Fort Worth,Doha,Colombo,1.0,Yes
2022-10-30,5.0,10.0,S Kalanaya,United States,"""used such an old aircraft!",  There was an aircraft change and they separated three in our family into three different sections. The seating was a 2-2-2 configuration instead of a 1-2-1. The USB ports were out of order and The TVs in the middle from rows 5 to 7 did not work. My seat adjustment keys were worn out and erratic and the TV screen was non-touch screens or did not work.  I do not know why they used such an old aircraft with many controls not working for a day flight of 13 hours. The lounge in Doha was exceptional both during outward and inward journeys. The staff was extremely helpful and friendly. They have shown excellent professionalism. One silver lining is the crew aboard the aircraft was par excellence. They did a fantastic job as usual.,Family Leisure,Business Class,October 2022,Boeing 777-300 ER,Doha to Philadelphia,Doha,Direct,Philadelphia,1.0,no
2022-10-29,10.0,10.0,G Markham,United Kingdom,"""attend to every need""","  Superb airline with superb air hostesses, Can’t do enough and attend to every need, with quality service. On board meals and entertainment were great also. Just need to sort security times at Doha",Family Leisure,Economy Class,October 2022,A380 / A350-900,Bangkok to Edinburgh via Doha,Bangkok,Doha,Edinburgh,1.0,Yes
2022-10-29,5.0,10.0,M Hamadi,Canada,"""my food was horrible""","  Staff could not board me on at Montreal due to an issue with my passport and it took forever to clear that. Boeing 777 was not in great shape and was quite old. Washrooms were not in order from the get go and my food was horrible and was not sufficient.  The infotainment system on this 777 was not great.  The only positive thing was the Customer Service, which was pretty good and also the Doha airport is really nice. I am heading back to Vancouver soon and lets see how that flight goes.",Family Leisure,Economy Class,October 2022,Boeing 777,Montreal to  Doha,Montreal,Direct,Doha,1.0,no
2022-10-27,3.0,10.0,Fabio Bortolami,Malaysia,"""people were left alone""","  On 26 OCT flight Kuala Lumpur to Doha in codeshare and operated by Malaysia Airlines was delayed 1,5 hrs due to technical problems. Today's experience at Doha is the complete absence of professionalism. There should be people waiting for the passengers at the arrival gate, separating the ones with short or missed connection in groups divided by final destination and guiding them to the proper channel to rebook their flight. In today’s experience people were left alone in desperate search of the (now closed) connection gate and they were finally reaching the transfer desk. Here I spent Hours waiting in line in front of the eyes of staff who were bouncing people from 1 operator to the other, never taking any action. The decisions on who to serve and attend were based on who is angrier and shouting the loudest. Some people have been rebooked on the next day flight when there was another one after only 6 hours. At their further inquiring why they couldn’t board on the earlier flight they have been answered with a sorry and invited to line up again to get a 3rd boarding pass printed.",Business,Economy Class,October 2022,A330-300,Kuala Lumpur to Milan via Doha,Kuala Lumpur,Doha,Milan,1.0,no
2022-10-27,3.0,10.0,W Dalitano,Italy,"""worse seat than the non exit row""","  The food they provide for a long haul flight is insufficient and the quality of my food was appalling. The scrambled egg was a solid chewy rock with no flavour. The second meal was a cold sausage roll stuffed with chicken which was not appetising. Wifi on outbound didn’t work at all. The super fast Wi-Fi which I paid for in the return did not work for more then half the journey. I paid £150 for exit row seats I got a worse seat than the non exit row. Nowhere to put your belongings, you have to hold the blanket and pillow on your lap for take off and landing. Seat 23a has the door blocking your legroom so you need to sit at an angle to get any leg room. Our outbound flight was an hour delayed and we weren’t communicated with much. There were very few toilets available and there was a queue which was in our exit row legroom.",Business,Economy Class,October 2022,Boeing 777-300ER,Doha to London,Doha,Direct,London,1.0,no
2022-10-24,7.0,10.0,P Stalares,Philippines,"""The food has improved""",  We flew in Business Class from Zurich via Doha to Cebu on October 18. On both flights the service was excellent and the crew were very friendly and professional. The food has improved from previous flights. The flight from Zurich to Doha used an outdated aircraft from CX that did not meet QR standards. The light above the seat did not work and the information system was outdated. Boarding in Doha was once again chaotic. Business class passengers were not well informed and called while economy passengers were boarding. The bottle neck at the gate prevented this and no one of the gate staff took action. We were crammed into a bus with the rest of the passengers.,Couple Leisure,Business Class,October 2022,Boeing 777-300ER,Zurich to Mactan via Doha,Zurich,Doha,Lapu-Lapu City,1.0,no
2022-10-22,8.0,10.0,F Stieler,Philippines,"""crew were very friendly, helpful""","  The crew on both routes ZRH to DOH and DOH to Cebu were very friendly, helpful and fulfilled every wish. Thank you. Qatar Airways used leased aircraft from Cathay Pacific on the flight from Zurich to Doha that was not up to the usual Qatar Airways standard. It was rather an old aircraft. The seat light did not work and the flight itinerary on the information system was outdated and showed little info.",Couple Leisure,Business Class,October 2022,Boeing 777-300ER,Zurich to Cebu via Doha,Zurich,Doha,Cebu,1.0,Yes
2022-10-21,5.0,10.0,S Parlen,Germany,"""QSuite was not supplied""","  Boarding in Doha was chaotic, the messages by the gate staff were unintelligible.  Business Class passengers were invited to board first but the bottle neck at the gate prevented this and no one of the gate staff took action to allow priority passengers to board first. There had been an  equipment change and the booked QSuite was not supplied. Instead we were seated in their old 2-2-2 configuration with dated an uncomfortable seats. I don't really understand why QR still have this outdated product in service. Cabin Crew was excellent but my food was not very good at all. The Chicken Burger was tasteless and the fries that came with it were soggy. WiFi was not available. I expect a lot more froma 5 star airline.",Solo Leisure,Business Class,October 2022,Boeing 777,Doha to Cape Town,Doha,Direct,Cape Town,1.0,no
2022-10-21,7.0,10.0,W Simpson,Thailand,"""very pleasant and willing to help""","  I opted to have food at the Al Mourjan lounge before boarding, and to avoid it on the flight. This allowed me to enjoy the benefit of a good sleep, in the relative comfort of a business class flat bed. I opted for the last minute ""on the go breakfast"" before landing in Bangkok, proving the same inadequate level of F&B which I now associate with Qatar Airways: 3 or 4 pieces of fruit, a compote of yoghurt with some sugared jam, and a croissant. Harmless enough. Staff as always, very pleasant and willing to help at every opportunity, when required.",Couple Leisure,Business Class,October 2022,A380-800,Doha to Bangkok,Doha,Direct,Bangkok,1.0,no
2022-10-21,7.0,10.0,W Simpson,Thailand,"""staff seemed better organised""","  This was the return journey first leg. Inflight staff seemed better organised, but rather than risk a re-run of the chaotic F&B service on the inbound journey, I opted to sleep as soon as we had taken off, and not be disturbed for any F&B until or unless I decided I wanted it. This proved to be the correct strategy. I slept for the first 2 hours and then after waking, ordered the ""pulled beef"" burger, which was tolerable. Staff as always were friendly, and extremely eager to please. They expressed the desired level of concern at the abysmal check-in at Madrid operated by Iberia. Having checked-in online, but gone to the Business Class check-in desk the check in clerk questioned Thailand residency (my final destination) proof, (not required, but which I had in my passport, which he then disputed, until I explained it line by line). He then added luggage tags to 2 bags under my companion's name only, and omitted to put on priority tags. Qatar need to seriously monitor the service they are contracting to Iberia.",Couple Leisure,Business Class,October 2022,Boeing 787-9,Madrid to Doha,Madrid,Direct,Doha,1.0,no
2022-10-20,8.0,10.0,M Karsen,Sweden,"""friendly service minded cabin crew""","  Excellent service by a friendly service minded cabin crew. Old plane upgraded with Qsuites. Still hard uncomfortable seats but nice with the privacy. Light meal after take-off but when ordering the burgers were already ""sold out"". Left with soggy fish and chips that went back to the galley.",Solo Leisure,Business Class,October 2022,Boeing 777-300ER,Doha to Denpasar,Doha,Direct,Denpasar,1.0,Yes
2022-10-20,8.0,10.0,N Karsen,Sweden,"""Nice friendly service""","  Excellent once onboard. Nice friendly service, on the mark. The salmon was very overdone and dry.  Lounge review separately, Menzies Executive Lounge that is awful.",Solo Leisure,Business Class,October 2022,Boeing 787-8,Stockholm to Doha,Stockholm,Direct,Doha,1.0,Yes
2022-10-18,5.0,10.0,Michael Schade,Thailand,"""struggling with is consistency""","  The first leg was in First on a gorgeous A380, with impeccable service and great food and drinks. Stay at the Al Safah lounge In Doha was great as always. My connecting flight to FRA was at 1 pm, a very quiet time at Doha airport. Despite almost all gates unoccupied, the flight departed from a remote location by bus. It was the usual long wait and chaos at the bus gates, with a hot bus, and overheated plane with cannot cope with open doors on the tarmac. Service and food was ok, but there is no more sandwich service in business class before arrival on this 6h flight. I was offered potato chips or muesli bars, which I declined. I had a seat in row one, and was unable to sleep due to the loud chit chatting of the staff in the galley. Overall, what Qatar is struggling with is consistency on the ground and in the air.",Solo Leisure,Business Class,October 2022,A380/B788,Bangkok to Frankfurt via Doha,Bangkok,Doha,Frankfurt,1.0,no
2022-10-16,10.0,10.0,Martin Halshaw,United Kingdom,"""a pleasure to fly this airline""","  Both sectors of this flight had Qsuites. Which added to the attentive service by the staff (nothing is too much trouble) plus the quality & availability of the food + drinks are the reason why Qatar Airways business class is the best in the sky. Check-in and boarding is supper efficient for business class passengers, offers of welcome drinks / food options / pyjamas etc from pleasant staff make it a pleasure to fly this airline. There is a reason why Qatar Airways is consistently voted the best in the world and I wish I could afford to fly premium class all the time as it really is worth the extra cost.",Solo Leisure,Business Class,October 2022,Boeing 777-300ER,Manila to Manchester via Doha,Manila,Doha,Manchester,1.0,Yes
2022-10-15,5.0,10.0,W Simpson,Thailand,"""quality of the food has disappeared """," First time travelling on Qatar in nearly 4 years because of the pandemic. Check-in in BKK a breeze, and certainly not the 3 hours suggested by the airline, especially after online check-in. But onboard service a major disappointment. Meal service was haphazard and chaotic. Was the last to be asked for my first course order, despite being in the middle of the cabin, and they had run out. I opted to forgo it. Instead they provided an ad hoc 1 prawn dish with a slice or two of avocado. The next course took nearly 1 hour to arrive, and I took one look at it when it did, and just ordered a cheese plate instead, finished it and went to sleep. No mattress service on this sector, despite it being night time. My travelling companion on the other side received an equally strange service level. I received my drink order of a glass of champagne, and he received his 40 minutes later. Dinner, such as it was, was completely uncoordinated. However good on paper, the a la carte dining concept does not work, and my suggestion is it should be abolished. The staff were very apologetic and, but seemed very inexperienced. That, and the quality of the food has disappeared since I last travelled and fell in love with Qatar Airways. Overall the staff were trying to solve the problems, but they seemed unable to manage what should be their normal operation.",Couple Leisure,Business Class,October 2022,A380-800,Bangkok to Doha,Bangkok,Direct,Doha,1.0,no
2022-10-15,7.0,10.0,W Simpson,Thailand,"""they are cutting services"""," Immediately changed into provided ""PJs"", and after take off, had the mattress applied to the seat, and went to sleep. Had pre-ordered breakfast prior to arrival, which I was advised would be about 2 hours before decent. Slept well, and awoke about 4 hours later. Was immediately offered breakfast, and assumed it was at the agreed time. A fruit platter with yoghurt and juice was produced. Having taken that, I realised it was 2 hours too early, and I should have slept until the hour before arrival. Cabin staff the usual friendly people, but the quality of food and miserly portion, made me think it would have been best to skip the F&B service, and sleep until descent, for the early (8 am) arrival in Madrid. Like all airlines, Qatar has suffered from the ill-effects of the pandemic, so they are cutting services, but not prices. Hugely disappointed, but hope they can return to the airline I much loved pre-pandemic.",Couple Leisure,Business Class,October 2022,Boeing 787-9,Doha to Madrid,Doha,Direct,Madrid,1.0,no
2022-10-11,10.0,10.0,R Martin,Canada,"""Exceptional from boarding to disembarking""", Doha to Montreal. Exceptional service provided right from boarding to disembarking. The Q-Suite is a must try experience with delectable cuisine and attentive service from wonderful cabin crew. A special thank you to them on this flight!,Business,Business Class,October 2022,Boeing 777,Doha to Montreal,Doha,Direct,Montreal,1.0,Yes
2022-10-09,10.0,10.0,S Bardes,Spain,"""amazing experience""",  It’s always amazing experience flying with Qatar Airways especially a long haul flight. Very comfortable and one of the top notch are the cabin cres services and very attentive. Seat are very comfortable Q-suites. Lots of privacy.,Business,Business Class,October 2022,Boeing 777-300ER,Doha to Miami,Doha,Direct,Miami,1.0,Yes
2022-10-09,3.0,10.0,Navya Surendran,Australia,"""seats were given to someone else""","  I have done the web-check in well before the travel and seats were also booked. While transiting through Doha, last minute ground staff said my seats were given to someone else and given me the last seat. I am very disappointed with this service and never expected Qatar airways to break their promise by providing this service.",Family Leisure,Economy Class,October 2022,QR-1303,Doha to Melbourne,Doha,Direct,Melbourne,1.0,no
2022-10-08,10.0,10.0,Affan Butt,United Kingdom,"""excellent hospitality"""," I flew a service from Islamabad to Gatwick (London) via Doha. It was a night departure from Islamabad. The Ground staff were very nice and helpful. Check-in was a smooth process, I had exceeded the baggage allowance by a small margin. No fuss created. Flight lifted off on time. The A330 is a bit outdated but good enough for the 3 hr flight to Doha. Arrival was on-time and we were off into HIA’s Main Concourse. Transit was smooth. I did some shopping from QDF and had dinner from Burgerie (Food Court - South) HIA is normally busy in the early mornings due to most long-haul flights being scheduled around the same time (US/UK/EU/China/South Korea/AUS/NZ) But it didn’t cause any problems apart from extra waiting times at the Food court. As soon as I was done I came to see the “Final Call” 40 mins before departure for QR329 to London. Which meant I had to hurry up. As soon as I got to the Gate they called Zone 1 and I was first to board. I got comfortable in my seat. Pushback for this flight was on time. However the passenger next to me was quite disturbing in the flight. She persistently kept a sleeping angle which directly meant less space for me which was very uncomfortable on the night flight. I did not take any meals on this flight as I was full. Although I did hydrate myself regularly. After a couple of shows and a few hours of sleep we started descent into Gatwick and we landed at around 0630AM. De boarding was efficient and we were clear of all arrival procedures within 15 min and I was on my way on the 166 mile drive home. I won’t be using Gatwick again because of its location. And the disturbing passenger had no effect on the excellent hospitality of Qatar Airways. I hope to fly them soon again.",Solo Leisure,Economy Class,October 2022,A330-300 / B787-8,Islamabad to London Gatwick via Doha,Islamabad,Doha,London,1.0,Yes
2022-10-07,6.0,10.0,Mario Chater,Brazil,"""entertainment system is limited""","  The online wi-fi and entertainment system is limited and old (many airlines offer a wifi service which includes free wifi, live TV, numerous movies and series allowing you to watch them on your own device instead of outdated seat screens). The choice of food is very limited and the menu revolves around south asian food. I believe the menu should be more diversified and neutral. passengers should not waste 10 mins of their time watching  advertisement after take-off and before each movie/series. The cabin was clean. The cabin crew was professional. The overall experience is not bad but far from the best in the World.",Solo Leisure,Economy Class,September 2022,Boeing 777,Doha to Beirut,Doha,Direct,Beirut,1.0,no
2022-10-03,9.0,10.0,Philippe Strub,Indonesia,"""Extremely friendly crew"""," Doha to Jakarta. I don’t understand why in Doha the airplanes have to be parked so far away from the terminal. The communication of the ground staff with the bus drivers was not efficient and clear. Extremely friendly crew, very attentive to Privilege customer and very helpful with a fragile piece of luggage.",Business,Economy Class,October 2022,Boeing 787-8,Doha to Jakarta,Doha,Direct,Jakarta,1.0,Yes
2022-10-03,9.0,10.0,P Burtele,Indonesia,"""Crew very helpful and friendly""","  Great service at the Business/Privilege check-in counter and very helpful with fragile item. Boarding started 10min. late, reason unknown. Crew very helpful and friendly again.",Business,Economy Class,October 2022,Boeing 777-300ER,Zurich to Doha,Zurich,Direct,Doha,1.0,Yes
2022-10-03,8.0,10.0,P Burtele,Indonesia,"""well managed flight with friendly staff""","  Overall very well managed flight with friendly staff. There was a medical incident (passenger lost consciousness and was administered oxygen), which the crew managed well. It doesn’t need 3 crew members to assist someone in that state (I’m saying this as a first responder myself).",Business,Economy Class,October 2022,Boeing 787-8,Jakarta to Doha,Jakarta,Direct,Doha,1.0,Yes
2022-10-01,10.0,10.0,Manish Chhugani,India,"""happy to help me with the smile""",  Excellent is word when it come to fly for 15 hr journey from Doha to Miami. Jolina was there on the flight and she really took good care of me as i was on my veg diet. She make sure i am having my special meal on time and if i need anything else she was happy to help me with the smile.,Solo Leisure,Economy Class,September 2022,Boeing 777,Doha to Miami,Doha,Direct,Miami,0.0,Yes
2022-09-29,10.0,10.0,Affan Butt,United Kingdom,"""Never fail to impress me""","  Ground Staff at Heathrow were very efficient. 10 min Check-in process with COVID-19 documents checked within the line so you are ready when at the actual counter. Boarding process was also very smooth. Even though Heathrow's facilities do not facilitate a smooth boarding process. The flight took off on time, Seats were very comfortable and massive amounts of legroom. The IFE's screens were responsive and easy to use - Meals were a lot better thanks to the new Qcuisine services (I flew Emirates the week before and it was a lot worse). Landed in Doha on-time where I took the opportunity of grabbing myself a dinner and shopping from Qatar Duty Free, (10% off for QTR customers) - The flight to Islamabad was also boarded on time, not as smooth but that is more to be blamed on fellow passengers who do not listen to instructions or even try following them. The flight was quite short. About 2 hours on a new 777. I was sleeping most of the time. Upon arrival in Pakistan the Ground Staff were also quite helpful (Not Pakistani, the Qatari staff) assisting to all passenger concerns in baggage claim. I will be flying Qatar again next week to Gatwick via Doha - Qatar has always been excellent in the 50+ flights I have taken with them. Never fail to impress me. Thanks to Qatar Airways. And all cabin staff on QR4 (04/09) & QR614 (05/09)",Business,Economy Class,September 2022,A380-800 / Boeing 777-300,London to Islamabad via Doha,London,Doha,Islamabad,1.0,Yes
2022-09-28,6.0,10.0,Alwaleed Althani,Qatar,"""catering is deteriorating""","  I am a Platinum Member of QMiles and Emerald on the One World Alliance and have flown a lot on Qatar Airways. This year their catering service has been declining steadily and they need to sort this out, on this flight they had lobster thermidor, lamb chops and a weird vegetarian option , and by the fourth row in business class they had run out of the lobster. Our aircraft was a 12 year old 777-200LR these planes were meant to serve the DOH to AKL route which I flew on back in 2017 and the proposed Doha to Santiago de Chile route which never materialized, the plane was recently refurbished with QSuites but the WI-FI was very very patchy, The cabin crew tried their best but the plane was very full and were under a lot of stress. The snacks they offered were comparable to a less than two hour flight on a a domestic US route, a bar of chocolate or a pack of chips, the catering is deteriorating.",Family Leisure,Business Class,September 2022,Boeing 777-200LR,Doha to Paris,Doha,Direct,Paris,1.0,no
2022-09-25,8.0,10.0,C Hoffmann,Germany,"""one of the top products out there""","  Check in was a breeze and then a long walk to the lounge. Once there it’s like dining in a private club, service was first rate and the cook to order menu was truly fantastic, due to the late departure I choose to eat in the lounge and sleep for most of the flight. Warm welcome on board and shown to my qsuite which I definitely prefer over their other products. Was given a welcome drink and pre ordered my breakfast with a request to be woken up 2.5 hours prior to landing. Breakfast was good but I have had better. Service is friendly and effective this is still one of the top products out there.",Solo Leisure,Business Class,August 2022,Boeing 777-300,Singapore to Doha,Singapore,Direct,Doha,1.0,Yes
2022-09-25,2.0,10.0,D Beekel,Belgium,"""too many people crammed in""","  Flights to BRU-DOH-BKK all well, seats, check-ins. Travel back BKK-DOH-BRU was a terrible experience BKK-DOH an A330 which was overdue its age of retirement, impossible to make my seat screen to function, small leg space. The only good thing about this flight was the served sack served before landing. And the staff is always okay on Qatar flights. The transfer in Doha 2 times transfer by bus, very unpleasant. DOH-BRU on one of the terrible Boeing 787's too many people crammed in too small spaces, uncomfortable seats, and no leg space.",Couple Leisure,Economy Class,September 2022,Boeing 787,Doha to Brussels,Doha,Direct,Brussels,1.0,no
2022-09-21,8.0,10.0,M Eggleton,Australia,"""some room for improvement""","  Only my second time using Qatar, first was in 2008. It is still good, but they have places to improve. First leg was great, and ground staff very accommodating to my need for an exit seat due to my height, really appreciated that. Seats are very comfortable and recline a surprising amount. I never am able to sleep on flights but I fell asleep straight away. Loads of great movies to watch, food was good, staff excellent. My second leg was not good, but only for one reason the food/staff. I requested a specific meal due to allergies, but it was not on the list or assigned to my seat. When they came round with the trolley I told her I requested a special meal, she almost didn't understand or know what to do, she said she'd talk to someone ... 20mins went by, no one spoke to me, so I flagged someone down, she'd forgotten. Then all of a sudden 4 of then scramble around and took them a further 25mins to put half a luke warm meal together, a bread roll and two cups of fruit. The attendant either was new or had no clue what she was doing. Even when I asked for a beer she started listing every other drink until I asked 2 more times for a beer until she understood. . I am flying with Qatar in 3 weeks time, hopefully this won't happen again. It is a great airline, but still some room for improvement.",Solo Leisure,Economy Class,September 2022,Boeing 777,Perth to London via Doha,Perth,Doha,London,0.0,Yes
2022-09-15,8.0,10.0,Anders Pedersen,Denmark,"""Got a lot of attention from FAs""","  Flew Bangkok-Doha 11 Sept. 2022 on the flagship of the skies, the A380. Check-In smooth. Lounge in Bangkok downgraded to become the 3rd party Miracle Lounge, which at a first glance appear nice but de facto is fairly useless and sterile. No bar, no soft chairs, outdoor area closed off, food is lousy, no music, no wines, no personal service nor attention. Boarding smooth and from jetbridge. Onboard, got an excellent, priority seat on upper deck which rendered a premium feeling. Got a lot of attention from FAs who recognised my gold-card status, treated me with respect, pleasure, provided options and recommendations on food and drinks, and went beyond their mandate to please me. I brought own wine-glasses to avoid drinking from plastic mugs – this is the faith of travelling economy. Wines and food was good. Its much better to depart early evenings more than after midnight as you are served proper dinner. Good IFE. Annoying safety video with Barcelona footballers has now gone on for 5 years without being replenished. Eternal charity calls on Educate a Child is inappropriate. Departure delayed 1 hour due to heavy downpour in Bangkok, causing ½ hour late arrival, which is acceptable. Luggage well-handled and arrived to final destination with their partner airline, Rwandair, without any issues. Lounge in Doha, Silverlounge, was acceptable, due to attentive staff and tarmac view. Ticket were not that expensive.",Solo Leisure,Economy Class,September 2022,A380,Bangkok to Doha,Bangkok,Direct,Doha,1.0,Yes
2022-09-11,9.0,10.0,J Lim,Hong Kong,"""prompt and attentive with service""","  The lie-flat seat on Business Class made for a good night's sleep. The cabin crew were prompt and attentive with service and this was consistent throughout all legs of the journey, where snacks, water and other beverages were provided in addition to meal service. The amenity kit supplied by Diptyque Paris. Alcohol and beverage selection on Business class was generous. The IFE was very up-to-date with many of the latest movies from all around the world, no lagging or dead screens. Prices were reasonable and we were glad that none of our flights were subject to unreasonable delays and all of them arrived on time. I found  Doha Airport incredibly crowded. The lounges were full during peak transit time, and then magically empty out once outgoing planes have departed. Nevertheless, still a very decent option at such a price point. Certainly can consider flying with Qatar Airways again.",Couple Leisure,Business Class,August 2022,A330,Singapore to Kilimanjaro via Doha,Singapore,Doha,Kilimanjaro,1.0,Yes
2022-09-08,6.0,10.0,Alwaleed Althani,Qatar,"""My Salmon was clearly farmed""","  Morning departure from Charles de Gaulle the plane offered QSuites, the WiFi was working but barely. The service was lower than the normal Qatar Airways high standard but my food was awful. My Salmon was clearly farmed and my lobster was raw the only edible thing was the berries. How could they get it so wrong?",Couple Leisure,Business Class,September 2022,Boeing 777-300,Paris to Doha,Paris,Direct,Doha,1.0,no
2022-09-05,10.0,10.0,Muhammad Tahir Hanif,Pakistan,"""fulfilling all the expectation""",  I find Qatar Airways as pleasant as before this COVID-19 and since international travel is getting on the way of resuming its old speed still Qatar airways is fulfilling all the expectation.,Solo Leisure,Economy Class,July 2022,Boeing 787,Maputo to Lahore via Doha,Maputo,Doha,Lahore,1.0,Yes
2022-09-05,10.0,10.0,D Paracin,United States,"""truly a flying experience""",  Qatar Airways business class is truly a flying experience. Very good crew and the head crew Michelle and her team Ashwini Bhise were excellent. I am a frequent flyer both in Qatar and Emirates but Qatar stand out in quality of service. the Transfer desk at Doha is very professional and dedicated team.,Business,Business Class,September 2022,Boeing 777,Doha to New York,Doha,Direct,New York,1.0,Yes
2022-09-01,8.0,10.0,C Allen,Australia,"""two very good long-haul flights"""," Vienna to Jakarta via Doha. Overall I had two very good long-haul flights with Qatar Airways. On both flights, the seats were comfortable, esp. they had enough leg space for me (175 cm tall), and both had a power socket available just below the seat. I reclined on the second flight only, and it felt like a standard, good recline angle to me. The service started a bit late on both flights well past an hour of flight. The food was rather mediocre this time, but I appreciated real cutlery and a good selection of drinks. Boarding and disembarking weren't that great because both times (actually four times) it was done with a rather crowded bus. On the second flight boarding early meant spending more time in a hot bus waiting for the remaining passengers to arrive. I haven't used an entertainment system, but I was impressed with the screen size and quality on the first flight. Sadly WiFi was available only on the second flight when I didn't really need it. I tried it because one hour of complimentary free access was advertised, but it didn't work for me. I could barely log in and after I still had no actual internet connectivity. This time I discovered that the Qatar app allows you to track the luggage, which given all the mess happening right now with lost luggage around the world was quite comforting to see that the luggage was actually loaded onto the plane. Sadly, the app is a bit quirky to use as the luggage tracking is not available straight from the booking and requires providing a booking number. Also on the second flight, my booking was not visible at all. It just disappeared.",Solo Leisure,Economy Class,August 2022,A320-200 / A350-900,Vienna to Jakarta via Doha,Vienna,Doha,Jakarta,1.0,Yes
2022-08-31,7.0,10.0,Alwaleed Althani,Qatar,"""QSuites seats are comfortable"""," We got on a 4 year old Boeing 777-300 equipped with QSuites fully booked the seats are comfortable and operated properly and the WI-FI worked but Turkey does not allow WI-FI in it’s airspace so a good three hours was without internet, IFE was very good, the lamb chops were the worst I have had but the rest of the food was good. Service was barely acceptable but I will give them some slack with so many passengers but them letting children run riot in business class was unacceptable.",Couple Leisure,Business Class,August 2022,Boeing 777-300,Doha to London Heathrow,Doha,Direct,London,1.0,no
2022-08-30,10.0,10.0,E Sola,Spain,"""The services are excellent""",  No doubt named the best airlines for consecutive years. The services are excellent and the cabin crew are very well mannered and friendly. Every time I travel to Asia it’s my first airline option to choose. Business class seats are good.,Business,Business Class,August 2022,Boeing 787-9,Milan to Doha,Milan,Direct,Doha,1.0,Yes
2022-08-28,8.0,10.0,C Hoffmann,Germany,"""Flight was really good""","  Aircraft change meant that although I was still on an A350 this one was without the Qsuite which was a shame but seems to more common problem with Qatar. The family that was expecting a quad had more problems as one of the kids didn’t like sitting apart from the parents, which is one of the benefits of the product. Flight was really good with service by Gabriel first rate. Dine on demand is really good however as the flight lands at 9:30 in the morning a breakfast option would have been good instead of all being based around dinner. Selection of food good, flight comfortable, even managed fours of sleep.",Solo Leisure,Business Class,August 2022,A350-900,Doha to Singapore,Doha,Direct,Singapore,1.0,Yes
2022-08-27,9.0,10.0,Suhail Shafi,United States,"""a respectable inflight product""","  Qatar Airways uses the Boeing 777-300 ER on its Philadelphia route. The planes are not as modern and spacious as the A50s which used to be on this route. The planes are modern and clean with excellent inflight entertainment, professional staff and reasonable food. The inflight magazines, the fresheners and menus have disappeared due to the pandemic. But the food portions, although smaller, are reasonably tasty and the staff still keep the lavatories clean with good overall service.  Overall, good and professional airline with a respectable inflight product despite the pandemic related cost cutting.",Couple Leisure,Economy Class,August 2022,Boeing 777-300 ER,Philadelphia to Nagpur via Doha,Philadelphia,Doha,Nagpur,1.0,Yes
2022-08-24,10.0,10.0,M Mikhail,Canada,"""it was very comfortable""","  Cairo-Doha-Dallas The first flight was amazing. Even though it was only three hours long, the plane had screens on the seats, had a delicious meal service and snacks available if you ask the crew. They also came around with drinks multiple times and provided blankets and pillows. The second flight was equally amazing. It was 16 hours but it was very comfortable. They gave us 2 meals and 2 snacks and if you wanted more there were more snacks readily available. The screens had lots of movies, tv shows, games, and sporting events on them. There were also lots of drinks. Along with pillows and blankets they gave an amenity kit which had an eye mask, socks, ear plugs, and a tooth brush with toothpaste. The crew was really kind on both flights and asked if we wanted drinks multiple times. The wifi on both flights was the super wifi which was great if you payed for it (10 usd for the entire flight).",Family Leisure,Economy Class,August 2022,A350-1000,Cairo to Dallas via Doha,Cairo,Doha,Dallas,0.0,Yes
2022-08-23,3.0,10.0,G Gharzeddine,Qatar,"""still don't know where is my bag""","  My flight was from Beirut to Doha, when we reached here the bags where at belt number six but on the screen you can see so many flights on the belt! Anyways most of the passenger waited for more than 2 hours om the belt for the missing bags. Then we went to the office to apply a report. They checked the tag of the bag and everything related to the bag and they couldn't know where is it. The guy said it shows that its loaded but we cant find where it is. And they gave me a phone numbers to call but most of the times its busy. And when they answer they say will call you after one hour and no one called me and I still don't know where is my bag.",Solo Leisure,Economy Class,August 2022,A320,Beirut to Doha,Beirut,Direct,Doha,0.0,no
2022-08-18,6.0,10.0,R Mardunu,Spain,"""raised my hand when he skipped us""","  I and my son boarded Qatar Airways from Entebbe via Doha to Madrid. The services that we received on board the flight from Entebbe to Doha were terrible. The staff assigned to serve our section skipped us every time food, drinks, snacks were being served. This was quite embarrassing as I raised my hand when he skipped us so as to get served. When we were almost getting to Doha I raised up my hand and another staff responded. I explained to him the ordeal, he looked so apologetic and offered to serve us anything of our choice. My next flight from Doha to Madrid was the best despite that we lost our luggage for after 4 days.",Family Leisure,Economy Class,August 2022,A330-300,Entebbe to Madrid via Doha,Entebbe,Doha,Madrid,1.0,no
